idx	name	frames	level	room	what
93	l4_70_key	749	4	71	"lambda nav: make_clear_grab_policy(nav, ""Right""), ok(0x71, keys=1), 60"
94	l4_61	280	4	61	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x61), 40"
95	l4_51	382	4	51	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x51), 50"
96	l4_51_key	840	4	50	"lambda nav: make_clear_grab_policy(nav, ""Left""), ok(0x50, keys=2), 60"
97	l4_40	582	4	40	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x40), 50"
98	l4_40_key	1748	4	30	"lambda nav: make_clear_grab_policy(nav, ""Up""), ok(0x30, keys=3), 60"
99	l4_31	365	4	31	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x31), 50"
100	l4_32	4906	4	32	"lambda nav: make_clear_policy(nav, ""Right""), ok(0x32), 60"
101	l4_lad_st	1180	4	60	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
102	l4_ladder	820	4	32	lambda nav: cellar_item_policy(nav, ram.LADDER), lambda emu, s: s.hearts > 0 and emu.byte(ram.LADDER) == 1 and s.room == 0x32 and s.mode == 5, 30
103	l4_b31	396	4	31	"lambda nav: make_cross_policy(nav, ""Left""), ok(0x31), 40"
104	l4_b30	616	4	30	"lambda nav: make_cross_policy(nav, ""Left""), ok(0x30), 40"
105	l4_20	356	4	20	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x20), 50"
106	l4_10	414	4	10	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x10), 50"
107	l4_00	812	4	00	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x00), 40"
108	l4_01	531	4	01	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x01), 40"
109	l4_02	548	4	02	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x02), 50"
110	l4_12	369	4	12	"lambda nav: make_lareach_policy(nav, Goal(120, 189, 6), then_exit=""Down""), ok(0x12), 40"
111	l4_13	810	4	13	"lambda nav: make_lafight_policy(nav, ""Right""), ok(0x13), 80"
112	gleeok	6020	4	13	gleeok_policy, lambda emu, s: s.hearts > 0 and s.room == 0x13 and not read_enemies(emu), 80
113	l4_heart	112	4	13	lambda nav: make_grab_policy(nav, None), lambda emu, s: s.hearts > 0 and s.room == 0x13 and read_room_item(emu) is None, 30
114	L4_done	977	0	03	"lambda nav: triforce_policy(nav, 0x08, ""Up""), lambda emu, s: bool(emu.byte(0x671) & 0x08), 12"
115	warp_L4	162	0	45	warp_policy, lambda emu, s: s.mode == 5 and s.level == 0, 4
116	l2_sail	213	0	55	dock_policy, lambda emu, s: s.room == 0x55 and s.mode == 5 and s.hearts > 0, 20
117	l2w00_56	530	0	56	
118	l2w01_57	556	0	57	
119	l2w02_58	325	0	58	
120	l2w03_59	434	0	59	
121	l2w04_5a	349	0	5a	
122	l2w05_5b	642	0	5b	
123	l2w06_5c	418	0	5c	
124	l2w07_5d	350	0	5d	
125	l2w08_4d	207	0	4d	
126	l2w09_4c	273	0	4c	
127	l2w10_3c	385	0	3c	
128	enter_L2	272	2	7d	lambda nav: enter_level_policy(nav, 2), lambda emu, s: s.level == 2 and s.mode == 5 and s.hearts > 0, 20
129	l2_6d	254	2	6d	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x6D), 40"
130	l2_6e	320	2	6e	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x6E), 40"
131	l2_5e	335	2	5e	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x5E), 50"
132	l2_4e	404	2	4e	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x4E), 50"
133	l2_3e	322	2	3e	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x3E), 50"
134	l2_3f	339	2	3f	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x3F), 50"
135	l2_bombs	476	2	3e	"lambda nav: make_grab_policy(nav, ""Left""), lambda emu, s: s.room == 0x3E and s.mode == 5 and s.hearts > 0 and s.bombs > 0, 60"
136	l2_2e	553	2	2e	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x2E), 50"
137	l2_1e	757	2	1e	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x1E), 60"
138	l2_0e	658	2	0e	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x0E), 60"
139	dodongo	818	2	0e	dodongo_policy, lambda emu, s: s.hearts > 0 and s.room == 0x0E and not read_enemies(emu), 60
140	L2_done	968	0	0d	"lambda nav: triforce_policy(nav, 0x02, ""Left""), lambda emu, s: bool(emu.byte(0x671) & 0x02), 12"
141	warp_L2	162	0	3c	warp_policy, lambda emu, s: s.mode == 5 and s.level == 0, 4
142	l5w00_4c	189	0	4c	
143	l5w01_4d	599	0	4d	
144	l5w02_3d	159	0	3d	
145	l5w03_2d	292	0	2d	
146	l5w04_2c	216	0	2c	
147	l5w05_1c	518	0	1c	
148	l5w06_1b	218	0	1b	
149	hills_1	258	0	1b	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x1B), 30"
150	hills_2	236	0	1b	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x1B), 30"
151	hills_3	236	0	1b	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x1B), 30"
152	hills_4	236	0	0b	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x0B), 30"
153	enter_L5	272	5	76	lambda nav: enter_level_policy(nav, 5), lambda emu, s: s.level == 5 and s.mode == 5 and s.hearts > 0, 20
154	l5_77	320	5	77	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x77), 40"
155	l5_77_key	1099	5	76	"lambda nav: make_clear_grab_policy(nav, ""Left""), ok(0x76, keys=1), 60"
156	l5_66	341	5	66	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x66), 50"
157	l5_66_key	1232	5	56	"lambda nav: make_grab_policy(nav, ""Up""), ok(0x56, keys=2), 50"
158	l5_57	373	5	57	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x57), 50"
159	l5_b56	260	5	56	"lambda nav: make_cross_policy(nav, ""Left""), ok(0x56), 50"
160	l5_66b	450	5	66	"lambda nav: make_cross_policy(nav, ""Down""), ok(0x66), 50"
161	l5_65	431	5	65	"lambda nav: bomb_policy(nav, ""Left"", 0x65), ok(0x65), 50"
162	l5_65_clear	398	5	65	lambda nav: make_lafight_policy(nav, None), cleared, 60
163	l5_64	375	5	64	"lambda nav: bomb_policy(nav, ""Left"", 0x64), ok(0x64), 50"
164	l5_rec_st	959	5	07	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
165	l5_passage	391	5	06	passage_policy, lambda emu, s: s.hearts > 0 and s.room == 0x06 and s.level == 5, 20
166	l5_05	277	5	05	"lambda nav: make_cross_policy(nav, ""Left""), ok(0x05), 40"
167	l5_rec_st2	1109	5	04	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
168	l5_recorder	815	5	05	lambda nav: cellar_item_policy(nav, ram.WHISTLE), lambda emu, s: s.hearts > 0 and emu.byte(ram.WHISTLE) == 1 and s.room == 0x05 and s.mode == 5, 30
169	l5_b06	257	5	06	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x06), 40"
170	l5_back_st	300	5	07	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
171	l5_back	487	5	64	passage_policy, lambda emu, s: s.hearts > 0 and s.room == 0x64 and s.level == 5, 20
172	l5_b65	342	5	65	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x65), 40"
173	l5_b66	401	5	66	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x66), 40"
174	l5_c56	685	5	56	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x56), 60"
175	l5_c57	369	5	57	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x57), 40"
176	l5_47b	323	5	47	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x47), 50"
177	l5_47_key	1154	5	37	"lambda nav: make_clear_grab_policy(nav, ""Up""), ok(0x37), 60"
178	l5_27	388	5	27	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x27), 50"
179	l5_27_key	397	5	26	"lambda nav: make_grab_policy(nav, ""Left""), ok(0x26), 50"
180	l5_26_key	982	5	25	"lambda nav: make_clear_grab_policy(nav, ""Left""), ok(0x25), 60"
181	l5_24	513	5	24	"lambda nav: make_cross_policy(nav, ""Left""), ok(0x24), 50"
182	digdogger	523	5	24	digdogger_policy, lambda emu, s: s.hearts > 0 and s.room == 0x24 and cleared(emu, s), 60
183	l5_heart	98	5	24	lambda nav: make_grab_policy(nav, None), lambda emu, s: s.hearts > 0 and s.room == 0x24 and read_room_item(emu) is None, 30
184	L5_done	881	0	14	"lambda nav: triforce_policy(nav, 0x10, ""Up""), lambda emu, s: bool(emu.byte(0x671) & 0x10), 12"
185	warp_L5	182	0	0b	warp_policy, lambda emu, s: s.mode == 5 and s.level == 0, 4
186	l7_1b	253	0	1b	"lambda nav: make_cross_policy(nav, ""Down""), ok(0x1B), 40"
187	l7w00_1a	259	0	1a	
188	l7w01_19	434	0	19	
189	l7w02_18	1207	0	18	
190	l7w03_17	316	0	17	
191	l7w04_27	176	0	27	
192	l7w05_28	319	0	28	
193	l7w06_38	252	0	38	
194	l7w07_48	760	0	48	
195	l7w08_47	310	0	47	
196	l7w09_46	288	0	46	
197	l7w10_56	232	0	56	
198	l7w11_55	463	0	55	
199	l7w12_65	170	0	65	
200	l7w13_64	669	0	64	
201	l7w14_63	446	0	63	
202	l7w15_62	393	0	62	
203	l7w16_52	258	0	52	
204	l7w17_42	481	0	42	
205	l7_52	110	0	52	"lambda nav: make_cross_policy(nav, ""Down""), ok(0x52), 40"
206	l7_62	480	0	62	"lambda nav: make_cross_policy(nav, ""Down""), ok(0x62), 40"
207	l7_61	216	0	61	"lambda nav: make_cross_policy(nav, ""Left""), ok(0x61), 40"
208	woods_0	219	0	61	
209	woods_1	294	0	61	
210	woods_2	182	0	61	
211	woods_3	302	0	60	
212	l7w20_50	185	0	50	
213	l7w21_40	260	0	40	
214	l7w22_41	157	0	41	
215	l7w23_31	207	0	31	
216	l7w24_32	311	0	32	
217	l6_22	321	0	22	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x22), 40"
218	enter_L6	269	6	79	lambda nav: enter_level_policy(nav, 6), lambda emu, s: s.level == 6 and s.mode == 5 and s.hearts > 0, 20
219	l6_7a	373	6	7a	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x7A), 40"
220	l6_7a_key	815	6	79	"lambda nav: make_clear_grab_policy(nav, ""Left""), ok(0x79, keys=1), 60"
221	l6_78	376	6	78	"lambda nav: make_cross_policy(nav, ""Left""), ok(0x78), 50"
222	l6_68	300	6	68	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x68), 50"
223	l6_58	336	6	58	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x58), 50"
224	l6_48	546	6	48	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x48), 60"
225	l6_38	270	6	38	"lambda nav: make_cross_policy(nav, ""Up""), ok(0x38), 50"
226	l6_28	1495	6	28	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x28), 60"
227	l6_out	3166	0	22	lambda nav: leave_dungeon_policy(nav), lambda emu, s: s.level == 0 and s.mode == 5 and s.hearts > 0, 30
228	l6_back	210	6	79	lambda nav: enter_level_policy(nav, 6), lambda emu, s: s.level == 6 and s.mode == 5 and s.hearts > 0, 20
229	farm33	4230	6	7a	
230	farm43	7476	6	7a	
231	farm53	8945	6	7a	
232	farm63	3604	6	7a	
233	farm68	3376	6	7a	
234	farm73	3454	6	7a	
235	farm78	3224	6	7a	
236	farm83	3110	6	7a	
237	farm85	2	6	7a	
238	shop_out	639	0	22	lambda nav: leave_dungeon_policy(nav), lambda emu, s: s.level == 0 and s.mode == 5 and s.hearts > 0, 30
239	whirl_east	455	0	0b	whirlwind_policy, lambda emu, s: s.mode == 5 and s.level == 0 and s.room == 0x0B and s.hearts > 0, 20
240	shop_1b	176	0	1b	"lambda nav: make_cross_policy(nav, ""Down""), ok(0x1B), 40"
241	shop00_1a	259	0	1a	
242	shop01_19	309	0	19	
243	shop02_18	410	0	18	
244	shop03_17	1235	0	17	
245	shop04_27	218	0	27	
246	shop05_28	310	0	28	
247	shop06_38	238	0	38	
248	shop07_48	214	0	48	
249	shop08_47	284	0	47	
250	shop09_46	292	0	46	
251	shop10_56	218	0	56	
252	shop11_55	749	0	55	
253	shop12_65	170	0	65	
254	shop13_64	369	0	64	
255	shop14_54	167	0	54	
256	shop15_44	306	0	44	
257	buy_arrows	544	0	44	lambda nav: shop_policy(nav, ram.ARROWS), lambda emu, s: s.hearts > 0 and emu.byte(ram.ARROWS) > 0, 25
258	shop_leave	310	0	44	lambda nav: cave_exit_policy(nav), lambda emu, s: s.mode == 5 and s.level == 0 and s.hearts > 0, 20
259	whirl_l3	4558	0	74	lambda nav: whirl_to_policy(nav, 0x74), lambda emu, s: s.mode == 5 and s.level == 0 and s.room == 0x74 and s.hearts > 0, 20
260	back0_73	226	0	73	
261	back1_72	324	0	72	
262	back2_62	540	0	62	
263	back3_61	1160	0	61	
264	bwoods_0	449	0	61	
265	bwoods_1	276	0	61	
266	bwoods_2	182	0	61	
267	bwoods_3	342	0	60	
268	bw0_50	161	0	50	
269	bw1_40	258	0	40	
270	bw2_41	157	0	41	
271	bw3_31	207	0	31	
272	bw4_32	309	0	32	
273	bw5_22	332	0	22	
274	l6_return	279	6	79	lambda nav: enter_level_policy(nav, 6), lambda emu, s: s.level == 6 and s.mode == 5 and s.hearts > 0, 20
275	r6_7a	373	6	7a	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x7A), 40"
276	r6_7a_key	852	6	79	"lambda nav: make_clear_grab_policy(nav, ""Left""), ok(0x79, keys=1), 60"
277	r6_78	367	6	78	"lambda nav: make_cross_policy(nav, ""Left""), ok(0x78), 50"
278	r6_68	334	6	68	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x68), 60"
279	r6_58	469	6	58	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x58), 60"
280	r6_48	568	6	48	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x48), 60"
281	r6_38	269	6	38	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x38), 60"
282	r6_28	1417	6	28	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x28), 60"
283	r6_18	977	6	18	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x18), 60"
284	l6_mini	775	6	18	lambda nav: gleeok_policy(nav, budget=40000), lambda emu, s: s.hearts > 0 and s.room == 0x18 and emu.byte(0x34D) != 0, 60
285	l6_19	312	6	19	"lambda nav: make_cross_policy(nav, ""Right""), ok(0x19), 50"
286	l6_1a	692	6	1a	"lambda nav: make_lafight_policy(nav, ""Right""), ok(0x1A), 60"
287	l6_1b	651	6	1b	"lambda nav: make_lafight_policy(nav, ""Right""), ok(0x1B), 60"
288	l6_0b	1023	6	0b	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x0B), 60"
289	l6_b1b	445	6	1b	"lambda nav: make_cross_policy(nav, ""Down""), ok(0x1B), 50"
290	l6_b1a	381	6	1a	"lambda nav: make_lafight_policy(nav, ""Left""), ok(0x1A), 60"
291	l6_b19	384	6	19	"lambda nav: make_lafight_policy(nav, ""Left""), ok(0x19), 60"
292	l6_29	340	6	29	"lambda nav: make_lafight_policy(nav, ""Down""), ok(0x29), 60"
293	l6_39	676	6	39	"lambda nav: make_lafight_policy(nav, ""Down""), ok(0x39), 60"
294	l6_3a	627	6	3a	"lambda nav: make_lafight_policy(nav, ""Right""), ok(0x3A), 60"
295	l6_3a_st	1207	6	08	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 50
296	l6_pass	375	6	1d	passage_policy, lambda emu, s: s.hearts > 0 and s.room == 0x1D and s.level == 6, 30
297	l6_1d	714	6	2d	"lambda nav: make_lafight_policy(nav, ""Down""), ok(0x2D), 60"
298	l6_2d	768	6	2c	"lambda nav: make_clear_grab_policy(nav, ""Left""), ok(0x2C, keys=4), 60"
299	l6_2c	707	6	1c	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x1C), 60"
300	gohma	242	6	1c	gohma_policy, lambda emu, s: s.hearts > 0 and s.room == 0x1C and emu.byte(0x34D) != 0, 60
301	l6_heart	43	6	1c	lambda nav: make_grab_policy(nav, None), lambda emu, s: s.hearts > 0 and s.room == 0x1C and read_room_item(emu) is None, 30
302	L6_done	826	0	0c	"lambda nav: triforce_policy(nav, 0x20, ""Up""), lambda emu, s: bool(emu.byte(0x671) & 0x20), 12"
303	warp_L6	162	0	22	warp_policy, lambda emu, s: s.mode == 5 and s.level == 0, 4
304	p7_32	278	0	32	
305	p7_31	408	0	31	
306	p7_41	188	0	41	
307	p7_40	288	0	40	
308	p7_50	214	0	50	
309	p7_60	255	0	60	
310	p7_61	181	0	61	
311	p7_62	366	0	62	
312	p7_52	201	0	52	
313	p7_42	279	0	42	
314	l7_drain	416	0	42	pond_policy, lambda emu, s: s.hearts > 0 and s.room == 0x42 and stairs_on_screen(emu) is not None, 30
315	enter_L7	177	7	79	lambda nav: stairs_entry_policy(nav, 7), lambda emu, s: s.level == 7 and s.mode == 5 and s.hearts > 0, 25
316	l7_out	128	0	42	leave_dungeon_policy, lambda emu, s: s.level == 0 and s.mode == 5 and s.hearts > 0, 30
317	w7_52	240	0	52	cross Down -> room 0x52
318	whirl_l6	5003	0	22	lambda nav: whirl_to_policy(nav, 0x22), lambda emu, s: s.mode == 5 and s.level == 0 and s.room == 0x22 and s.hearts > 0, 20
319	l6_farm_in	207	6	79	lambda nav: enter_level_policy(nav, 6), lambda emu, s: s.level == 6 and s.mode == 5 and s.hearts > 0, 20
320	fd40	10043	6	7a	
321	fd47	3036	6	78	
322	fd54	2984	6	78	
323	fd61	5642	6	79	
324	l6_farm_out	315	0	22	leave_dungeon_policy, lambda emu, s: s.level == 0 and s.mode == 5 and s.hearts > 0, 30
325	m7_32	251	0	32	
326	m7_31	427	0	31	
327	m7_41	158	0	41	
328	m7_40	288	0	40	
329	m7_50	214	0	50	
330	m7_60	255	0	60	
331	m7_61	181	0	61	
332	m7_62	289	0	62	
333	m7_52	197	0	52	
334	m7_53	251	0	53	
335	heal_43	265	0	43	cross Up -> room 0x43
336	heal	396	0	43	fairy_policy, lambda emu, s: s.hearts >= s.containers and s.mode == 5, 20
337	heal_b53	104	0	53	cross Down -> room 0x53
338	m7_54	272	0	54	
339	m7_44	221	0	44	
340	m7_34	361	0	34	
341	buy_food	596	0	34	lambda nav: grave_shop_policy(nav, ram.BAIT), lambda emu, s: s.hearts > 0 and emu.byte(ram.BAIT) > 0, 25
342	food_leave	239	0	34	lambda nav: cave_exit_policy(nav), lambda emu, s: s.mode == 5 and s.level == 0 and s.hearts > 0, 20
343	b7_44	242	0	44	
344	b7_54	346	0	54	
345	b7_53	236	0	53	
346	b7_52	563	0	52	
347	b7_42	275	0	42	
348	l7_drain2	269	0	42	pond_policy, lambda emu, s: s.hearts > 0 and s.room == 0x42 and stairs_on_screen(emu) is not None, 20
349	enter_L7b	183	7	79	lambda nav: stairs_entry_policy(nav, 7), lambda emu, s: s.level == 7 and s.mode == 5 and s.hearts > 0, 25
350	l7_69	255	7	69	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x69), 60"
351	l7_59	1102	7	59	"lambda nav: bomb_policy(nav, ""Up"", 0x59), lambda emu, s: s.hearts > 0 and s.room == 0x59 and s.level == 7, 40"
352	l7_49	691	7	49	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x49), 60"
353	l7_39	688	7	39	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x39), 60"
354	l7_3a	3135	7	3a	"lambda nav: bomb_policy(nav, ""Right"", 0x3A), lambda emu, s: s.hearts > 0 and s.room == 0x3A and s.level == 7, 40"
355	l7_3a_key	581	7	39	"lambda nav: make_clear_grab_policy(nav, ""Left""), ok(0x39, keys=4), 60"
356	l7_38	1038	7	38	"lambda nav: digdogger_policy(nav, ""Left""), ok(0x38), 40"
357	l7_28	836	7	28	"lambda nav: make_lafight_policy(nav, ""Up""), ok(0x28), 60"
358	l7_feed	716	7	18	feed_goriya_policy, lambda emu, s: s.hearts > 0 and s.room == 0x18 and s.level == 7, 40
359	l7_19	1485	7	19	"lambda nav: make_lafight_policy(nav, ""Right""), ok(0x19), 60"
360	l7_1a	1094	7	1a	"lambda nav: bomb_policy(nav, ""Right"", 0x1A), lambda emu, s: s.hearts > 0 and s.room == 0x1A and s.level == 7, 40"
361	l7_1a_st	992	7	4a	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 40
362	l7_candle	1537	7	1a	lambda nav: cellar_item_policy(nav, ram.CANDLE), lambda emu, s: s.hearts > 0 and emu.byte(ram.CANDLE) > 0 and s.room == 0x1A and s.mode == 5, 30
363	l7d_1b	573	7	1b	"lambda nav: bomb_policy(nav, ""Right"", 0x1B), lambda emu, s: s.hearts > 0 and s.room == 0x1B and s.level == 7, 40"
364	l7_1c	679	7	1c	"lambda nav: make_lafight_policy(nav, ""Right""), ok(0x1C), 60"
365	l7_0c	1012	7	0c	"lambda nav: digdogger_policy(nav, ""Up""), ok(0x0C), 40"
366	l7_0d	602	7	0d	"lambda nav: bomb_policy(nav, ""Right"", 0x0D), lambda emu, s: s.hearts > 0 and s.room == 0x0D and s.level == 7, 20"
367	l7_0d_st	1281	7	7b	clear_push_stairs_policy, lambda emu, s: s.hearts > 0 and s.mode == 9, 50
368	l7_pass	453	7	29	passage_policy, lambda emu, s: s.hearts > 0 and s.level == 7 and s.mode == 5 and s.room == 0x29, 30
